[INFO ] 2024-07-22 17:13:52.740 [main] Prueba - El fichero C:\GITHUB\DISDEN\TANGO\JAVA\lee\ex1.xls existe
[TRACE] 2024-07-22 17:13:53.362 [main] InternalWorkbook - found XF record at 152
[TRACE] 2024-07-22 17:13:53.362 [main] InternalWorkbook - found XF record at 153
[TRACE] 2024-07-22 17:13:53.362 [main] InternalWorkbook - found XF record at 154
[TRACE] 2024-07-22 17:13:53.362 [main] InternalWorkbook - found XF record at 155
[TRACE] 2024-07-22 17:13:53.362 [main] InternalWorkbook - found XF record at 156
[TRACE] 2024-07-22 17:13:53.362 [main] InternalWorkbook - found XF record at 157
[TRACE] 2024-07-22 17:13:53.363 [main] InternalWorkbook - found XF record at 158
[TRACE] 2024-07-22 17:13:53.363 [main] InternalWorkbook - found XF record at 159
[TRACE] 2024-07-22 17:13:53.363 [main] InternalWorkbook - found XF record at 160
[TRACE] 2024-07-22 17:13:53.363 [main] InternalWorkbook - found XF record at 161
[TRACE] 2024-07-22 17:13:53.363 [main] InternalWorkbook - found XF record at 162
[TRACE] 2024-07-22 17:13:53.363 [main] InternalWorkbook - found XF record at 163
[TRACE] 2024-07-22 17:13:53.363 [main] InternalWorkbook - found XF record at 164
[TRACE] 2024-07-22 17:13:53.363 [main] InternalWorkbook - found XF record at 165
[TRACE] 2024-07-22 17:13:53.363 [main] InternalWorkbook - found XF record at 166
[TRACE] 2024-07-22 17:13:53.363 [main] InternalWorkbook - found XF record at 167
[TRACE] 2024-07-22 17:13:53.364 [main] InternalWorkbook - found XF record at 168
[TRACE] 2024-07-22 17:13:53.364 [main] InternalWorkbook - found (sid=2172) record at 169
[TRACE] 2024-07-22 17:13:53.364 [main] InternalWorkbook - found (sid=2173) record at 170
[TRACE] 2024-07-22 17:13:53.364 [main] InternalWorkbook - found (sid=2173) record at 171
[TRACE] 2024-07-22 17:13:53.364 [main] InternalWorkbook - found (sid=2173) record at 172
[TRACE] 2024-07-22 17:13:53.364 [main] InternalWorkbook - found (sid=2173) record at 173
[TRACE] 2024-07-22 17:13:53.364 [main] InternalWorkbook - found (sid=2173) record at 174
[TRACE] 2024-07-22 17:13:53.364 [main] InternalWorkbook - found (sid=2173) record at 175
[TRACE] 2024-07-22 17:13:53.364 [main] InternalWorkbook - found (sid=2173) record at 176
[TRACE] 2024-07-22 17:13:53.364 [main] InternalWorkbook - found (sid=2173) record at 177
[TRACE] 2024-07-22 17:13:53.364 [main] InternalWorkbook - found (sid=2173) record at 178
[TRACE] 2024-07-22 17:13:53.364 [main] InternalWorkbook - found (sid=2173) record at 179
[TRACE] 2024-07-22 17:13:53.364 [main] InternalWorkbook - found (sid=2173) record at 180
[TRACE] 2024-07-22 17:13:53.365 [main] InternalWorkbook - found (sid=2173) record at 181
[TRACE] 2024-07-22 17:13:53.365 [main] InternalWorkbook - found (sid=2173) record at 182
[TRACE] 2024-07-22 17:13:53.365 [main] InternalWorkbook - found (sid=2173) record at 183
[TRACE] 2024-07-22 17:13:53.365 [main] InternalWorkbook - found (sid=2173) record at 184
[TRACE] 2024-07-22 17:13:53.365 [main] InternalWorkbook - found (sid=2173) record at 185
[TRACE] 2024-07-22 17:13:53.365 [main] InternalWorkbook - found (sid=2173) record at 186
[TRACE] 2024-07-22 17:13:53.365 [main] InternalWorkbook - found (sid=2173) record at 187
[TRACE] 2024-07-22 17:13:53.365 [main] InternalWorkbook - found (sid=2173) record at 188
[TRACE] 2024-07-22 17:13:53.365 [main] InternalWorkbook - found (sid=2173) record at 189
[TRACE] 2024-07-22 17:13:53.365 [main] InternalWorkbook - found (sid=2173) record at 190
[TRACE] 2024-07-22 17:13:53.365 [main] InternalWorkbook - found (sid=2173) record at 191
[TRACE] 2024-07-22 17:13:53.365 [main] InternalWorkbook - found (sid=2173) record at 192
[TRACE] 2024-07-22 17:13:53.366 [main] InternalWorkbook - found (sid=2173) record at 193
[TRACE] 2024-07-22 17:13:53.366 [main] InternalWorkbook - found (sid=2173) record at 194
[TRACE] 2024-07-22 17:13:53.366 [main] InternalWorkbook - found (sid=2173) record at 195
[TRACE] 2024-07-22 17:13:53.366 [main] InternalWorkbook - found (sid=2173) record at 196
[TRACE] 2024-07-22 17:13:53.366 [main] InternalWorkbook - found (sid=2173) record at 197
[TRACE] 2024-07-22 17:13:53.366 [main] InternalWorkbook - found (sid=2173) record at 198
[TRACE] 2024-07-22 17:13:53.366 [main] InternalWorkbook - found (sid=2173) record at 199
[TRACE] 2024-07-22 17:13:53.366 [main] InternalWorkbook - found (sid=2173) record at 200
[TRACE] 2024-07-22 17:13:53.366 [main] InternalWorkbook - found (sid=2173) record at 201
[TRACE] 2024-07-22 17:13:53.366 [main] InternalWorkbook - found (sid=2173) record at 202
[TRACE] 2024-07-22 17:13:53.366 [main] InternalWorkbook - found (sid=2173) record at 203
[TRACE] 2024-07-22 17:13:53.367 [main] InternalWorkbook - found (sid=2173) record at 204
[TRACE] 2024-07-22 17:13:53.367 [main] InternalWorkbook - found (sid=2173) record at 205
[TRACE] 2024-07-22 17:13:53.367 [main] InternalWorkbook - found (sid=2173) record at 206
[TRACE] 2024-07-22 17:13:53.367 [main] InternalWorkbook - found (sid=2173) record at 207
[TRACE] 2024-07-22 17:13:53.367 [main] InternalWorkbook - found (sid=2173) record at 208
[TRACE] 2024-07-22 17:13:53.367 [main] InternalWorkbook - found (sid=2173) record at 209
[TRACE] 2024-07-22 17:13:53.367 [main] InternalWorkbook - found (sid=2173) record at 210
[TRACE] 2024-07-22 17:13:53.367 [main] InternalWorkbook - found (sid=2173) record at 211
[TRACE] 2024-07-22 17:13:53.367 [main] InternalWorkbook - found (sid=2173) record at 212
[TRACE] 2024-07-22 17:13:53.367 [main] InternalWorkbook - found (sid=2173) record at 213
[TRACE] 2024-07-22 17:13:53.367 [main] InternalWorkbook - found (sid=2173) record at 214
[TRACE] 2024-07-22 17:13:53.367 [main] InternalWorkbook - found (sid=659) record at 215
[TRACE] 2024-07-22 17:13:53.367 [main] InternalWorkbook - found (sid=2194) record at 216
[TRACE] 2024-07-22 17:13:53.368 [main] InternalWorkbook - found (sid=659) record at 217
[TRACE] 2024-07-22 17:13:53.368 [main] InternalWorkbook - found (sid=2194) record at 218
[TRACE] 2024-07-22 17:13:53.368 [main] InternalWorkbook - found (sid=659) record at 219
[TRACE] 2024-07-22 17:13:53.368 [main] InternalWorkbook - found (sid=2194) record at 220
[TRACE] 2024-07-22 17:13:53.368 [main] InternalWorkbook - found (sid=659) record at 221
[TRACE] 2024-07-22 17:13:53.368 [main] InternalWorkbook - found (sid=2194) record at 222
[TRACE] 2024-07-22 17:13:53.368 [main] InternalWorkbook - found (sid=659) record at 223
[TRACE] 2024-07-22 17:13:53.368 [main] InternalWorkbook - found (sid=2194) record at 224
[TRACE] 2024-07-22 17:13:53.368 [main] InternalWorkbook - found (sid=659) record at 225
[TRACE] 2024-07-22 17:13:53.368 [main] InternalWorkbook - found (sid=2194) record at 226
[TRACE] 2024-07-22 17:13:53.368 [main] InternalWorkbook - found (sid=659) record at 227
[TRACE] 2024-07-22 17:13:53.368 [main] InternalWorkbook - found (sid=2194) record at 228
[TRACE] 2024-07-22 17:13:53.368 [main] InternalWorkbook - found (sid=659) record at 229
[TRACE] 2024-07-22 17:13:53.369 [main] InternalWorkbook - found (sid=2194) record at 230
[TRACE] 2024-07-22 17:13:53.369 [main] InternalWorkbook - found (sid=659) record at 231
[TRACE] 2024-07-22 17:13:53.369 [main] InternalWorkbook - found (sid=2194) record at 232
