[INFO ] 2024-08-02 12:07:49.416 [main] SharedLogger - Producto{codigo='ALA00011', lista=3, moneda='Corriente', precio=6500.0}
[INFO ] 2024-08-02 12:07:49.416 [main] SharedLogger - Producto{codigo='ALA00011', lista=4, moneda='Corriente', precio=6500.0}
[INFO ] 2024-08-02 12:07:49.416 [main] SharedLogger - Producto{codigo='ALA00012', lista=3, moneda='Corriente', precio=69000.0}
[INFO ] 2024-08-02 12:07:49.416 [main] SharedLogger - Producto{codigo='ALA00012', lista=4, moneda='Corriente', precio=48279.0}
[INFO ] 2024-08-02 12:07:49.417 [main] SharedLogger - Producto{codigo='ALA00014', lista=3, moneda='Corriente', precio=69000.0}
[INFO ] 2024-08-02 12:07:49.417 [main] SharedLogger - Producto{codigo='ALA00014', lista=4, moneda='Corriente', precio=48279.0}
[INFO ] 2024-08-02 12:07:49.417 [main] SharedLogger - Producto{codigo='ALA00015', lista=3, moneda='Corriente', precio=6500.0}
[INFO ] 2024-08-02 12:07:49.417 [main] SharedLogger - Producto{codigo='ALA00015', lista=4, moneda='Corriente', precio=6500.0}
[INFO ] 2024-08-02 12:07:49.418 [main] SharedLogger - Producto{codigo='ALA00016', lista=3, moneda='Corriente', precio=69000.0}
[INFO ] 2024-08-02 12:07:49.418 [main] SharedLogger - Producto{codigo='ALA00016', lista=4, moneda='Corriente', precio=48279.0}
[INFO ] 2024-08-02 12:07:49.418 [main] SharedLogger - Producto{codigo='ALA00017', lista=3, moneda='Corriente', precio=69000.0}
[INFO ] 2024-08-02 12:07:49.418 [main] SharedLogger - Producto{codigo='ALA00017', lista=4, moneda='Corriente', precio=48279.0}
[INFO ] 2024-08-02 12:07:49.418 [main] SharedLogger - Producto{codigo='ALA00018', lista=3, moneda='Corriente', precio=6500.0}
[INFO ] 2024-08-02 12:07:49.419 [main] SharedLogger - Producto{codigo='ALA00018', lista=4, moneda='Corriente', precio=6500.0}
[INFO ] 2024-08-02 12:07:49.419 [main] SharedLogger - Producto{codigo='ALA00021', lista=3, moneda='Corriente', precio=46900.0}
[INFO ] 2024-08-02 12:07:49.419 [main] SharedLogger - Producto{codigo='ALA00021', lista=4, moneda='Corriente', precio=46900.0}
[INFO ] 2024-08-02 12:07:49.419 [main] SharedLogger - Producto{codigo='ALA00022', lista=4, moneda='Corriente', precio=713.9}
[INFO ] 2024-08-02 12:07:49.419 [main] SharedLogger - Producto{codigo='ALA00023', lista=4, moneda='Corriente', precio=713.9}
[INFO ] 2024-08-02 12:07:49.419 [main] SharedLogger - Producto{codigo='ALA00036', lista=3, moneda='Corriente', precio=69000.0}
[INFO ] 2024-08-02 12:07:49.420 [main] SharedLogger - Producto{codigo='ALA00036', lista=4, moneda='Corriente', precio=48279.0}
[INFO ] 2024-08-02 12:07:49.420 [main] SharedLogger - Producto{codigo='ALA00037', lista=3, moneda='Corriente', precio=69000.0}
[INFO ] 2024-08-02 12:07:49.420 [main] SharedLogger - Producto{codigo='ALA00037', lista=4, moneda='Corriente', precio=48279.0}
[INFO ] 2024-08-02 12:07:49.420 [main] SharedLogger - Producto{codigo='ALA00038', lista=3, moneda='Corriente', precio=11900.0}
[INFO ] 2024-08-02 12:07:49.420 [main] SharedLogger - Producto{codigo='ALA00038', lista=4, moneda='Corriente', precio=11900.0}
[INFO ] 2024-08-02 12:07:49.420 [main] SharedLogger - Producto{codigo='ALA00039', lista=3, moneda='Corriente', precio=11900.0}
[INFO ] 2024-08-02 12:07:49.420 [main] SharedLogger - Producto{codigo='ALA00039', lista=4, moneda='Corriente', precio=11900.0}
[INFO ] 2024-08-02 12:07:49.421 [main] SharedLogger - Producto{codigo='ALA00040', lista=3, moneda='Corriente', precio=35000.0}
[INFO ] 2024-08-02 12:07:49.421 [main] SharedLogger - Producto{codigo='ALA00040', lista=4, moneda='Corriente', precio=35000.0}
[INFO ] 2024-08-02 12:07:49.421 [main] SharedLogger - Producto{codigo='ALG00001', lista=3, moneda='Corriente', precio=13300.0}
[INFO ] 2024-08-02 12:07:49.421 [main] SharedLogger - Producto{codigo='ALG00001', lista=4, moneda='Corriente', precio=8712.0}
[INFO ] 2024-08-02 12:07:49.421 [main] SharedLogger - Producto{codigo='ALG00002', lista=3, moneda='Corriente', precio=12900.0}
[INFO ] 2024-08-02 12:07:49.421 [main] SharedLogger - Producto{codigo='ALG00002', lista=4, moneda='Corriente', precio=8349.0}
[INFO ] 2024-08-02 12:07:49.421 [main] SharedLogger - Producto{codigo='ALG00003', lista=3, moneda='Corriente', precio=12900.0}
[INFO ] 2024-08-02 12:07:49.422 [main] SharedLogger - Producto{codigo='ALG00003', lista=4, moneda='Corriente', precio=8349.0}
[INFO ] 2024-08-02 12:07:49.422 [main] SharedLogger - Producto{codigo='ALG00004', lista=3, moneda='Corriente', precio=11900.0}
[INFO ] 2024-08-02 12:07:49.422 [main] SharedLogger - Producto{codigo='ALG00004', lista=4, moneda='Corriente', precio=11900.0}
[INFO ] 2024-08-02 12:07:49.422 [main] SharedLogger - Producto{codigo='ALI00003', lista=3, moneda='Corriente', precio=15000.0}
[INFO ] 2024-08-02 12:07:49.422 [main] SharedLogger - Producto{codigo='ALI00003', lista=4, moneda='Corriente', precio=10406.0}
[INFO ] 2024-08-02 12:07:49.422 [main] SharedLogger - Producto{codigo='ALI00007', lista=3, moneda='Corriente', precio=16000.0}
[INFO ] 2024-08-02 12:07:49.422 [main] SharedLogger - Producto{codigo='ALI00007', lista=4, moneda='Corriente', precio=11011.0}
[INFO ] 2024-08-02 12:07:49.423 [main] SharedLogger - Producto{codigo='ALI00011', lista=3, moneda='Corriente', precio=16000.0}
[INFO ] 2024-08-02 12:07:49.423 [main] SharedLogger - Producto{codigo='ALI00011', lista=4, moneda='Corriente', precio=16000.0}
[INFO ] 2024-08-02 12:07:49.423 [main] SharedLogger - Producto{codigo='ALI00019', lista=3, moneda='Corriente', precio=65000.0}
[INFO ] 2024-08-02 12:07:49.423 [main] SharedLogger - Producto{codigo='ALI00019', lista=4, moneda='Corriente', precio=65000.0}
[INFO ] 2024-08-02 12:07:49.423 [main] SharedLogger - Producto{codigo='ALI00021', lista=3, moneda='Corriente', precio=269000.0}
[INFO ] 2024-08-02 12:07:49.423 [main] SharedLogger - Producto{codigo='ALI00021', lista=4, moneda='Corriente', precio=168190.0}
[INFO ] 2024-08-02 12:07:49.423 [main] SharedLogger - Producto{codigo='ALI00026', lista=3, moneda='Corriente', precio=199000.0}
[INFO ] 2024-08-02 12:07:49.423 [main] SharedLogger - Producto{codigo='ALI00026', lista=3, moneda='Corriente', precio=143990.0}
[INFO ] 2024-08-02 12:07:49.423 [main] SharedLogger - Producto{codigo='ALI00032', lista=3, moneda='Corriente', precio=17000.0}
[INFO ] 2024-08-02 12:07:49.424 [main] SharedLogger - Producto{codigo='ALI00032', lista=4, moneda='Corriente', precio=10406.0}
[INFO ] 2024-08-02 12:07:49.424 [main] SharedLogger - Producto{codigo='ALI00041', lista=3, moneda='Corriente', precio=15000.0}
[INFO ] 2024-08-02 12:07:49.424 [main] SharedLogger - Producto{codigo='ALI00041', lista=4, moneda='Corriente', precio=10406.0}
[INFO ] 2024-08-02 12:07:49.424 [main] SharedLogger - Producto{codigo='ALI00045', lista=3, moneda='Corriente', precio=15000.0}
[INFO ] 2024-08-02 12:07:49.424 [main] SharedLogger - Producto{codigo='ALI00045', lista=4, moneda='Corriente', precio=10406.0}
[INFO ] 2024-08-02 12:07:49.424 [main] SharedLogger - Producto{codigo='ALI00048', lista=3, moneda='Corriente', precio=18000.0}
[INFO ] 2024-08-02 12:07:49.425 [main] SharedLogger - Producto{codigo='ALI00048', lista=4, moneda='Corriente', precio=18000.0}
[INFO ] 2024-08-02 12:07:49.425 [main] SharedLogger - Producto{codigo='ALI00053', lista=3, moneda='Corriente', precio=16000.0}
[INFO ] 2024-08-02 12:07:49.425 [main] SharedLogger - Producto{codigo='ALI00053', lista=4, moneda='Corriente', precio=16000.0}
[INFO ] 2024-08-02 12:07:49.425 [main] SharedLogger - Producto{codigo='ALI00056', lista=3, moneda='Corriente', precio=14000.0}
[INFO ] 2024-08-02 12:07:49.425 [main] SharedLogger - Producto{codigo='ALI00056', lista=4, moneda='Corriente', precio=9559.0}
[INFO ] 2024-08-02 12:07:49.425 [main] SharedLogger - Producto{codigo='ALI00057', lista=3, moneda='Corriente', precio=13000.0}
[INFO ] 2024-08-02 12:07:49.426 [main] SharedLogger - Producto{codigo='ALI00057', lista=4, moneda='Corriente', precio=9075.0}
[INFO ] 2024-08-02 12:07:49.426 [main] SharedLogger - Producto{codigo='ALI00060', lista=3, moneda='Corriente', precio=17000.0}
[INFO ] 2024-08-02 12:07:49.426 [main] SharedLogger - Producto{codigo='ALI00060', lista=4, moneda='Corriente', precio=11858.0}
[INFO ] 2024-08-02 12:07:49.426 [main] SharedLogger - Producto{codigo='ALI00065', lista=3, moneda='Corriente', precio=15000.0}
[INFO ] 2024-08-02 12:07:49.426 [main] SharedLogger - Producto{codigo='ALI00065', lista=4, moneda='Corriente', precio=15000.0}
[INFO ] 2024-08-02 12:07:49.426 [main] SharedLogger - Producto{codigo='ALI00070', lista=3, moneda='Corriente', precio=15000.0}
[INFO ] 2024-08-02 12:07:49.426 [main] SharedLogger - Producto{codigo='ALI00070', lista=4, moneda='Corriente', precio=10406.0}
[INFO ] 2024-08-02 12:07:49.426 [main] SharedLogger - Producto{codigo='ALI00077', lista=3, moneda='Corriente', precio=17000.0}
[INFO ] 2024-08-02 12:07:49.427 [main] SharedLogger - Producto{codigo='ALI00077', lista=4, moneda='Corriente', precio=11858.0}
[INFO ] 2024-08-02 12:07:49.427 [main] SharedLogger - Producto{codigo='ALI00078', lista=3, moneda='Corriente', precio=17000.0}
[INFO ] 2024-08-02 12:07:49.427 [main] SharedLogger - Producto{codigo='ALI00078', lista=4, moneda='Corriente', precio=11858.0}
[INFO ] 2024-08-02 12:07:49.427 [main] SharedLogger - Producto{codigo='ALO00004', lista=3, moneda='Corriente', precio=6900.0}
[INFO ] 2024-08-02 12:07:49.427 [main] SharedLogger - Producto{codigo='ALO00004', lista=4, moneda='Corriente', precio=4706.9}
[INFO ] 2024-08-02 12:07:49.427 [main] SharedLogger - Producto{codigo='AMA00006', lista=3, moneda='Corriente', precio=69000.0}
[INFO ] 2024-08-02 12:07:49.427 [main] SharedLogger - Producto{codigo='AMA00006', lista=4, moneda='Corriente', precio=69000.0}
[INFO ] 2024-08-02 12:07:49.428 [main] SharedLogger - Producto{codigo='APL00001', lista=3, moneda='Corriente', precio=1500.0}
[INFO ] 2024-08-02 12:07:49.428 [main] SharedLogger - Producto{codigo='APL00001', lista=4, moneda='Corriente', precio=1500.0}
[INFO ] 2024-08-02 12:07:49.428 [main] SharedLogger - Producto{codigo='APL00003', lista=3, moneda='Corriente', precio=4900.0}
[INFO ] 2024-08-02 12:07:49.428 [main] SharedLogger - Producto{codigo='APL00003', lista=4, moneda='Corriente', precio=4900.0}
[INFO ] 2024-08-02 12:07:49.428 [main] SharedLogger - Producto{codigo='APL00004', lista=3, moneda='Corriente', precio=9500.0}
[INFO ] 2024-08-02 12:07:49.428 [main] SharedLogger - Producto{codigo='APL00004', lista=4, moneda='Corriente', precio=9500.0}
